Customer_ID,Age,Gender,Annual_Income,Customer_Tenure,Purchase_Frequency,Total_Spending,Average_Order_Value,Days_Since_Last_Purchase,Website_Visits
CUST00033,27,Male,395865.34,15,24,35660.0,1485.83,5,25
CUST00034,55,Female,556223.32,108,3,6800.0,2266.67,43,21
CUST00035,35,Female,511633.36,104,7,13370.0,1910.0,54,23
CUST00036,67,Female,615306.41,48,1,2600.0,2600.0,213,23
CUST00037,22,Male,375813.19,76,2,11770.0,5885.0,118,20
CUST00038,70,Female,417603.6,56,11,24490.0,2226.36,14,30
CUST00039,46,Male,453217.1,89,14,28930.0,2066.43,11,30
CUST00040,56,Male,674867.93,91,6,17340.0,2890.0,269,22
CUST00041,51,Female,716400.14,70,14,48120.0,3437.14,111,27
CUST00042,60,Female,411745.32,87,4,9590.0,2397.5,93,21
CUST00043,62,Female,297872.4,15,18,39900.0,2216.67,60,32
CUST00044,40,Other,588629.16,39,0,0.0,0.0,9999,20
CUST00045,22,Female,695040.28,69,5,6000.0,1200.0,281,29
CUST00046,47,Female,470709.05,87,6,14660.0,2443.33,12,20
CUST00047,23,Female,362666.62,79,11,22410.0,2037.27,141,22
CUST00048,63,Male,403235.88,89,4,17780.0,4445.0,97,24
CUST00049,61,Male,1045563.06,60,10,21920.0,2192.0,174,28
CUST00050,21,Female,552463.15,94,6,10530.0,1755.0,12,25
CUST00051,46,Female,788895.77,44,25,32460.0,1298.4,36,22
CUST00052,40,Male,348353.03,43,17,36800.0,2164.71,112,28
CUST00053,23,Male,861968.37,4,7,20350.0,2907.14,4,30
CUST00054,49,Male,747860.82,77,22,98730.0,4487.73,19,36
CUST00055,59,Female,477479.57,50,6,8410.0,1401.67,89,21
CUST00056,35,Female,657622.49,104,13,20440.0,1572.31,44,29
CUST00057,32,Female,895049.06,39,4,11050.0,2762.5,56,31
CUST00058,57,Female,303687.28,54,6,6290.0,1048.33,80,22
CUST00059,49,Female,394661.31,23,7,14420.0,2060.0,20,23
CUST00060,26,Male,632970.22,60,15,38630.0,2575.33,244,26
CUST00061,54,Male,504576.68,80,11,54000.0,4909.09,6,12
CUST00062,27,Male,601657.38,35,6,5990.0,998.33,129,28
CUST00063,37,Female,681487.42,54,4,6820.0,1705.0,34,25
CUST00064,23,Male,625773.28,58,10,23540.0,2354.0,21,21
CUST00065,65,Female,446228.9,62,16,33500.0,2093.75,26,20
CUST00066,20,Female,460277.29,80,3,5040.0,1680.0,127,17
CUST00067,59,Male,1006777.8,48,7,24970.0,3567.14,21,25
CUST00068,28,Female,519776.63,7,22,47700.0,2168.18,3,17
CUST00069,60,Female,920117.24,119,9,11130.0,1236.67,54,26
CUST00070,34,Male,949351.58,45,13,25410.0,1954.62,166,21
CUST00071,49,Male,351841.62,13,11,11630.0,1057.27,55,22
CUST00072,21,Female,696165.6,53,6,6730.0,1121.67,77,18
CUST00073,21,Male,307511.59,115,18,30440.0,1691.11,56,28
CUST00074,34,Male,1035182.6,114,25,38540.0,1541.6,52,26
CUST00075,58,Female,544277.68,93,3,4520.0,1506.67,21,23
CUST00076,36,Female,532517.47,39,8,14360.0,1795.0,20,25
CUST00077,22,Female,338763.47,84,19,29080.0,1530.53,40,20
CUST00078,49,Female,380525.13,114,2,5040.0,2520.0,255,24
CUST00079,39,Female,553572.96,93,22,16790.0,763.18,7,21
CUST00080,23,Male,520898.15,120,3,8800.0,2933.33,89,32
CUST00081,52,Female,420441.59,18,5,10330.0,2066.0,48,15
CUST00082,39,Male,742379.57,22,3,3630.0,1210.0,212,20
CUST00083,18,Male,499446.54,36,5,7660.0,1532.0,49,28
CUST00084,37,Female,317287.86,105,5,9900.0,1980.0,184,29
CUST00085,39,Female,691442.29,53,4,8540.0,2135.0,16,25
CUST00086,65,Male,296762.99,112,18,42620.0,2367.78,27,27
CUST00087,28,Female,210410.7,100,5,13600.0,2720.0,194,27
CUST00088,30,Female,522110.19,72,6,6570.0,1095.0,422,33
CUST00089,59,Female,314441.83,3,1,1450.0,1450.0,38,24
CUST00090,20,Male,541725.02,62,18,43520.0,2417.78,41,23
CUST00091,26,Female,721959.65,29,18,25790.0,1432.78,20,20
CUST00092,29,Male,778706.97,73,5,12660.0,2532.0,91,26
CUST00093,40,Male,625499.03,8,10,11670.0,1167.0,2,22
CUST00094,31,Female,275305.02,94,6,8140.0,1356.67,105,25
CUST00095,50,Female,361600.38,76,20,28870.0,1443.5,10,30
CUST00096,35,Female,501219.96,46,8,13570.0,1696.25,2,21
CUST00097,66,Female,503404.46,92,2,2240.0,1120.0,155,28
CUST00098,58,Male,327257.99,56,8,27650.0,3456.25,219,26
CUST00099,26,Female,406065.04,106,9,44960.0,4995.56,5,30
CUST00100,40,Male,720012.99,117,23,43000.0,1869.57,91,24
CUST00101,27,Female,627217.14,49,15,36410.0,2427.33,19,30
CUST00102,36,Male,435199.25,43,6,8410.0,1401.67,38,20
CUST00103,64,Other,794689.67,10,2,3510.0,1755.0,74,24
CUST00104,22,Female,275249.74,13,12,15590.0,1299.17,6,23
CUST00105,64,Female,723860.84,57,6,30950.0,5158.33,209,31
CUST00106,69,Female,680396.21,2,16,36170.0,2260.62,2,23
CUST00107,40,Female,699677.6,65,13,30900.0,2376.92,155,32
CUST00108,47,Male,571357.92,86,5,9520.0,1904.0,112,27
CUST00109,42,Male,372652.47,97,4,5550.0,1387.5,151,20
CUST00110,45,Female,652626.13,80,5,7100.0,1420.0,37,27
CUST00111,51,Male,414709.62,42,8,17040.0,2130.0,232,23
CUST00112,62,Female,548378.24,58,19,50770.0,2672.11,56,19
CUST00113,65,Male,360341.92,93,6,11310.0,1885.0,6,27
CUST00114,64,Male,428121.47,10,24,52340.0,2180.83,21,25
CUST00115,42,Female,468785.84,63,9,13190.0,1465.56,24,20
CUST00116,27,Other,598534.31,103,9,8050.0,894.44,40,30
CUST00117,31,Female,645383.93,71,11,19540.0,1776.36,35,20
CUST00118,59,Female,1072419.76,61,11,22140.0,2012.73,74,23
CUST00119,63,Female,534464.34,1,2,4860.0,2430.0,5,24
CUST00120,47,Male,326402.01,26,0,0.0,0.0,9999,28
CUST00121,58,Male,716653.62,109,7,30550.0,4364.29,24,23
CUST00122,42,Female,582042.53,5,14,27940.0,1995.71,0,28
CUST00123,31,Female,458949.85,35,9,27980.0,3108.89,28,22
CUST00124,52,Female,417545.89,13,5,12240.0,2448.0,4,26
CUST00125,69,Other,378570.27,27,7,11850.0,1692.86,66,16
CUST00126,65,Male,372953.07,12,6,5610.0,935.0,10,18
CUST00127,51,Male,288703.01,94,15,34290.0,2286.0,5,21
CUST00128,27,Female,772079.53,50,11,22080.0,2007.27,46,22
CUST00129,52,Male,608056.56,96,2,4290.0,2145.0,290,22
CUST00130,28,Male,521382.51,59,6,10460.0,1743.33,160,22
CUST00131,28,Male,378142.41,31,8,16100.0,2012.5,56,25
CUST00132,38,Male,816334.23,69,7,9060.0,1294.29,100,24
CUST00133,38,Female,263834.48,37,7,18580.0,2654.29,186,20
CUST00134,39,Female,471378.46,2,2,5010.0,2505.0,10,27
CUST00135,62,Female,777881.32,102,13,36140.0,2780.0,73,26
CUST00136,24,Female,203960.29,71,6,30840.0,5140.0,178,35
CUST00137,34,Male,541222.55,65,2,2640.0,1320.0,554,22
CUST00138,19,Female,371495.75,3,22,53530.0,2433.18,5,19
CUST00139,29,Male,528018.11,20,4,10890.0,2722.5,63,30
CUST00140,59,Male,422464.46,2,4,14960.0,3740.0,9,33
CUST00141,35,Male,653125.42,42,3,5860.0,1953.33,92,26
CUST00142,28,Female,870661.09,43,0,0.0,0.0,9999,24
CUST00143,33,Female,1549372.0,21,18,26550.0,1475.0,53,24
CUST00144,66,Female,475125.11,45,6,16520.0,2753.33,25,29
CUST00145,68,Female,696937.57,96,3,5840.0,1946.67,70,34
CUST00146,35,Male,583227.55,112,4,7390.0,1847.5,362,33
CUST00147,52,Female,602956.34,20,13,53420.0,4109.23,32,27
CUST00148,70,Female,971380.32,43,0,0.0,0.0,9999,22
CUST00149,43,Male,367499.17,50,15,37550.0,2503.33,17,28
CUST00150,33,Male,425548.89,95,10,13930.0,1393.0,39,28
CUST00151,23,Female,462036.99,43,6,17750.0,2958.33,234,24
CUST00152,61,Female,320995.21,97,8,17470.0,2183.75,5,31
CUST00153,60,Female,499668.25,24,22,59170.0,2689.55,13,27
CUST00154,64,Female,672293.21,82,21,42350.0,2016.67,62,29
CUST00155,64,Other,725870.03,84,15,31910.0,2127.33,22,28
CUST00156,65,Male,460303.72,60,1,1620.0,1620.0,164,20
CUST00157,59,Male,835912.77,32,4,4850.0,1212.5,143,22
CUST00158,29,Male,196646.16,5,5,7110.0,1422.0,57,18
CUST00159,30,Male,1423722.25,2,6,9630.0,1605.0,2,30
CUST00160,21,Female,645402.13,26,16,17880.0,1117.5,62,28
CUST00161,56,Female,411954.16,25,19,28910.0,1521.58,0,23
CUST00162,19,Female,615573.19,50,2,5950.0,2975.0,220,30
CUST00163,43,Male,466778.08,86,8,48910.0,6113.75,33,24
CUST00164,44,Female,195285.0,39,9,19700.0,2188.89,54,23
CUST00165,44,Male,510665.95,86,18,66760.0,3708.89,4,30
CUST00166,32,Male,753543.11,75,3,18110.0,6036.67,338,18
CUST00167,25,Female,771482.98,11,18,22760.0,1264.44,1,29
CUST00168,24,Female,559963.78,63,2,2640.0,1320.0,293,29
CUST00169,64,Male,769395.65,109,3,5100.0,1700.0,193,15
CUST00170,63,Male,608231.8,68,11,19270.0,1751.82,9,22
CUST00171,57,Female,552673.42,97,3,5160.0,1720.0,174,23
CUST00172,29,Male,366706.31,18,10,24860.0,2486.0,90,30
CUST00173,30,Male,427674.89,95,16,45130.0,2820.62,98,17
CUST00174,60,Female,445521.43,108,7,18630.0,2661.43,383,31
CUST00175,34,Male,568540.99,28,1,1390.0,1390.0,400,24
CUST00176,34,Male,717682.33,42,3,10530.0,3510.0,8,21
CUST00177,53,Female,379219.76,60,3,6070.0,2023.33,404,20
CUST00178,38,Other,267285.06,22,3,6850.0,2283.33,93,21
CUST00179,25,Other,955753.92,40,5,3620.0,724.0,60,27
CUST00180,22,Male,323347.86,62,9,25970.0,2885.56,131,17
CUST00181,43,Male,623376.61,3,7,24780.0,3540.0,1,23
CUST00182,33,Male,560338.29,71,1,1030.0,1030.0,541,25
CUST00183,53,Male,428228.62,63,8,13070.0,1633.75,6,23
CUST00184,45,Female,657184.04,20,3,5660.0,1886.67,37,24
CUST00185,46,Female,290375.44,107,13,26550.0,2042.31,12,23
CUST00186,64,Female,1041519.98,71,21,53060.0,2526.67,64,30
CUST00187,29,Male,1636480.39,71,3,5700.0,1900.0,152,29
CUST00188,54,Male,870023.22,93,15,33290.0,2219.33,6,29
CUST00189,47,Female,347257.71,26,2,7130.0,3565.0,117,26
CUST00190,40,Male,180000.0,41,11,21850.0,1986.36,81,34
CUST00191,33,Female,619815.49,3,11,21050.0,1913.64,2,28
CUST00192,31,Female,279384.93,43,12,19550.0,1629.17,45,19
CUST00193,27,Female,415169.32,17,8,25010.0,3126.25,87,24
CUST00194,24,Male,992153.64,104,10,36840.0,3684.0,40,23
CUST00195,62,Female,1038222.08,84,8,26060.0,3257.5,122,13
CUST00196,69,Male,1089917.92,98,24,33620.0,1400.83,20,31
CUST00197,54,Male,522640.91,53,7,19930.0,2847.14,71,21
CUST00198,46,Female,748505.07,52,2,1950.0,975.0,364,22
CUST00199,20,Male,204069.14,33,8,14750.0,1843.75,52,14
CUST00200,32,Female,254675.09,80,11,15710.0,1428.18,46,23
CUST00201,53,Female,439184.71,60,16,40640.0,2540.0,38,27
CUST00202,64,Female,730107.41,87,1,4160.0,4160.0,529,20
CUST00203,63,Female,412700.68,68,19,41930.0,2206.84,47,34
CUST00204,69,Male,717522.55,56,5,10210.0,2042.0,23,25
CUST00205,36,Other,297528.03,105,8,21670.0,2708.75,23,25
CUST00206,30,Female,523492.26,64,3,4580.0,1526.67,0,24
CUST00207,59,Female,640375.78,104,20,40910.0,2045.5,32,25
CUST00208,38,Male,703058.53,97,6,12690.0,2115.0,1,34
CUST00209,54,Female,408056.56,8,16,18530.0,1158.12,10,20
CUST00210,44,Male,506490.83,69,14,27820.0,1987.14,10,24
CUST00211,69,Female,249953.43,33,6,7470.0,1245.0,53,23
CUST00212,46,Male,476906.31,25,18,47750.0,2652.78,36,19
CUST00213,37,Female,813514.49,71,9,12830.0,1425.56,92,26
CUST00214,42,Male,444214.37,111,2,5010.0,2505.0,119,26
CUST00215,23,Male,357108.07,7,8,9640.0,1205.0,32,28
CUST00216,53,Male,710700.04,59,19,75730.0,3985.79,33,23
CUST00217,19,Male,1398215.39,33,15,29350.0,1956.67,9,18
CUST00218,39,Male,1329528.69,41,8,12420.0,1552.5,216,16
CUST00219,49,Female,562419.65,33,6,13320.0,2220.0,10,21
CUST00220,33,Female,707214.84,29,9,22690.0,2521.11,58,21
CUST00221,35,Female,1045229.13,108,9,9450.0,1050.0,101,29
CUST00222,22,Female,557349.0,39,8,11700.0,1462.5,8,27
CUST00223,53,Male,615355.25,57,9,14360.0,1595.56,17,32
CUST00224,47,Male,432366.11,105,0,0.0,0.0,9999,25
CUST00225,62,Male,1451273.54,96,12,12640.0,1053.33,70,25
CUST00226,36,Female,690936.03,101,6,6040.0,1006.67,89,27
CUST00227,40,Female,443339.72,108,10,18540.0,1854.0,11,29
CUST00228,51,Male,385950.02,93,16,67310.0,4206.88,0,16
CUST00229,30,Male,216775.89,64,16,51680.0,3230.0,109,25
CUST00230,60,Female,245518.85,86,17,28350.0,1667.65,36,27
CUST00231,46,Female,360625.79,66,4,19750.0,4937.5,4,18
CUST00232,53,Female,759268.43,114,8,22460.0,2807.5,153,25
CUST00233,39,Female,579032.76,9,17,89760.0,5280.0,7,22
CUST00234,69,Female,284276.33,29,3,7000.0,2333.33,119,20
CUST00235,69,Male,329532.56,97,5,16150.0,3230.0,24,31
CUST00236,64,Male,567550.35,74,9,25140.0,2793.33,164,24
CUST00237,53,Female,1061748.37,28,19,59190.0,3115.26,29,24
CUST00238,26,Female,304516.76,110,20,39800.0,1990.0,29,15
CUST00239,56,Female,614697.12,53,5,12320.0,2464.0,16,27
CUST00240,68,Male,409183.51,46,13,31020.0,2386.15,26,28
CUST00241,36,Male,414560.85,39,8,32800.0,4100.0,73,31
CUST00242,55,Male,294879.06,76,3,6360.0,2120.0,174,29
CUST00243,23,Male,662838.38,58,6,14740.0,2456.67,10,21
CUST00244,69,Male,401728.96,86,7,5790.0,827.14,157,27
CUST00245,64,Female,426844.53,54,1,2570.0,2570.0,8,18
CUST00246,32,Female,778645.46,6,6,8410.0,1401.67,32,35
CUST00247,37,Male,797143.83,45,8,27890.0,3486.25,85,25
CUST00248,26,Female,360030.86,40,1,2290.0,2290.0,101,29
CUST00249,49,Male,571480.8,23,8,16150.0,2018.75,126,28
CUST00250,21,Female,751768.21,117,10,20920.0,2092.0,65,19
CUST00251,67,Male,460381.16,98,5,10970.0,2194.0,64,24
CUST00252,35,Male,676065.72,42,14,10660.0,761.43,29,25
CUST00253,22,Female,433223.97,38,5,24700.0,4940.0,186,25
CUST00254,37,Male,427876.38,16,3,2490.0,830.0,100,37
CUST00255,40,Male,328693.7,74,13,52740.0,4056.92,33,24
CUST00256,28,Male,1080312.45,47,7,18970.0,2710.0,48,26
CUST00257,54,Male,402078.05,21,7,8960.0,1280.0,77,30
CUST00258,39,Male,348650.2,116,5,7330.0,1466.0,0,26
CUST00259,21,Female,312369.77,74,1,1590.0,1590.0,679,37
CUST00260,46,Female,519382.32,75,5,9840.0,1968.0,49,23
CUST00261,61,Female,316391.5,21,7,14420.0,2060.0,47,36
CUST00262,51,Male,362839.5,25,11,17000.0,1545.45,50,32
CUST00263,30,Male,716328.37,61,17,52420.0,3083.53,10,25
CUST00264,59,Male,611876.51,98,2,1450.0,725.0,265,30
CUST00265,26,Male,272930.1,54,13,30320.0,2332.31,43,25
CUST00266,59,Female,692826.01,95,6,21840.0,3640.0,38,24
CUST00267,48,Male,507432.03,91,15,63640.0,4242.67,47,22
CUST00268,24,Female,834081.11,89,12,36650.0,3054.17,13,22
CUST00269,21,Male,946436.01,60,6,21160.0,3526.67,70,22
CUST00270,36,Male,242428.0,42,10,14130.0,1413.0,17,24
CUST00271,59,Male,705348.33,61,2,1240.0,620.0,18,31
CUST00272,47,Male,1043435.03,32,11,20260.0,1841.82,55,21
CUST00273,48,Male,549467.79,53,4,13130.0,3282.5,83,22
CUST00274,52,Male,681506.49,44,6,7080.0,1180.0,19,23
CUST00275,38,Male,553269.11,11,2,1180.0,590.0,67,26
CUST00276,48,Female,776929.21,118,9,26660.0,2962.22,46,25
CUST00277,36,Female,594177.82,47,13,16620.0,1278.46,177,27
CUST00278,48,Male,201248.51,90,1,750.0,750.0,130,30
CUST00279,70,Male,473459.88,60,14,28530.0,2037.86,51,19
CUST00280,49,Female,459892.42,36,0,0.0,0.0,9999,27
CUST00281,19,Other,689392.68,101,9,16850.0,1872.22,38,27
CUST00282,69,Female,849110.18,120,5,5870.0,1174.0,74,20
CUST00283,27,Male,451310.93,60,18,39840.0,2213.33,102,30
CUST00284,19,Female,288130.59,33,6,8110.0,1351.67,73,26
CUST00285,19,Female,573871.3,97,4,8340.0,2085.0,554,24
CUST00286,41,Male,352634.26,42,14,21330.0,1523.57,50,27
CUST00287,34,Female,380650.12,100,2,3220.0,1610.0,16,34
CUST00288,49,Male,1460522.38,13,12,20480.0,1706.67,43,24
CUST00289,33,Other,368570.36,14,14,28170.0,2012.14,2,28
CUST00290,33,Female,247253.58,58,8,15050.0,1881.25,3,25
CUST00291,63,Female,656036.21,115,2,4000.0,2000.0,361,28
CUST00292,56,Female,687306.73,101,16,56660.0,3541.25,109,21
CUST00293,70,Male,742462.58,107,19,25520.0,1343.16,31,24
CUST00294,48,Female,729632.7,40,8,14000.0,1750.0,80,24
CUST00295,60,Female,533858.58,65,9,22480.0,2497.78,138,22
CUST00296,41,Female,536388.03,5,7,10570.0,1510.0,18,28
CUST00297,18,Female,763115.99,30,3,3450.0,1150.0,133,22
CUST00298,28,Female,1031197.09,117,20,76000.0,3800.0,24,16
CUST00299,38,Other,283519.58,82,0,0.0,0.0,9999,30
CUST00300,21,Female,380268.16,45,5,11810.0,2362.0,119,29
CUST00301,24,Female,663267.04,101,3,4040.0,1346.67,32,24
CUST00302,43,Male,560767.83,120,2,3970.0,1985.0,450,37
CUST00303,64,Female,223375.12,58,1,900.0,900.0,707,20
CUST00304,67,Male,386309.05,39,15,39860.0,2657.33,1,27
CUST00305,29,Male,572960.04,12,4,9340.0,2335.0,71,25
CUST00306,48,Male,502842.02,34,3,4320.0,1440.0,8,24
CUST00307,34,Female,425423.11,109,19,45390.0,2388.95,0,17
CUST00308,50,Female,1435744.37,14,16,46260.0,2891.25,15,35
CUST00309,28,Female,494430.69,38,9,19520.0,2168.89,41,27
CUST00310,45,Male,554784.72,16,15,21520.0,1434.67,26,23
CUST00311,49,Female,530830.26,106,5,13320.0,2664.0,181,20
CUST00312,18,Female,549966.92,61,3,3180.0,1060.0,213,23
CUST00313,64,Male,508560.92,59,4,6670.0,1667.5,9,20
CUST00314,45,Male,195888.08,75,5,10170.0,2034.0,25,24
CUST00315,70,Male,320222.45,97,1,1160.0,1160.0,373,23
CUST00316,59,Female,433946.96,79,9,46960.0,5217.78,94,25
CUST00317,24,Female,720778.55,112,7,19210.0,2744.29,146,26
CUST00318,19,Male,437001.13,106,7,26290.0,3755.71,83,22
CUST00319,59,Other,343947.42,74,2,3340.0,1670.0,388,26
CUST00320,41,Male,764753.41,67,8,13360.0,1670.0,4,23
CUST00321,21,Male,918369.73,11,22,53400.0,2427.27,7,30
CUST00322,61,Male,250856.46,11,10,14370.0,1437.0,16,27
CUST00323,36,Male,522291.15,16,5,17810.0,3562.0,43,27
CUST00324,43,Male,180000.0,38,1,680.0,680.0,100,31
CUST00325,28,Male,434618.69,30,20,80780.0,4039.0,19,32
CUST00326,57,Female,1167480.75,41,9,13570.0,1507.78,36,28
CUST00327,67,Male,521121.9,1,8,16550.0,2068.75,4,35
CUST00328,60,Female,268573.04,38,11,22550.0,2050.0,149,18
CUST00329,28,Female,271565.79,114,7,6250.0,892.86,111,25
CUST00330,62,Male,328626.51,109,15,29340.0,1956.0,4,22
CUST00331,20,Female,369575.03,98,10,23180.0,2318.0,17,20
CUST00332,29,Male,213333.56,60,14,27190.0,1942.14,70,22
CUST00333,20,Female,579853.65,19,5,17360.0,3472.0,15,28
CUST00334,59,Female,638645.73,98,19,59820.0,3148.42,41,25
CUST00335,44,Male,427098.45,59,1,1180.0,1180.0,163,27
CUST00336,66,Female,1255365.93,100,3,7000.0,2333.33,54,21
CUST00337,19,Female,412132.45,68,4,11230.0,2807.5,285,27
CUST00338,66,Female,859084.6,10,7,10920.0,1560.0,87,22
CUST00339,33,Female,267773.7,17,8,15200.0,1900.0,44,31
CUST00340,19,Male,572254.32,120,5,6140.0,1228.0,215,28
CUST00341,47,Female,612243.99,80,4,15560.0,3890.0,126,23
CUST00342,37,Male,363158.84,85,5,16030.0,3206.0,3,39
CUST00343,55,Male,539076.84,92,6,8240.0,1373.33,42,23
CUST00344,45,Male,361500.81,72,12,15530.0,1294.17,46,25
CUST00345,42,Male,434521.85,29,15,30030.0,2002.0,19,25
CUST00346,49,Female,440230.95,6,3,5190.0,1730.0,46,32
CUST00347,27,Female,265646.86,94,2,3720.0,1860.0,97,26
CUST00348,59,Female,632644.36,66,12,26590.0,2215.83,47,25
CUST00349,57,Male,652623.58,119,14,28790.0,2056.43,60,15
CUST00350,50,Female,422672.66,111,16,43810.0,2738.12,15,15
CUST00351,30,Female,557534.46,63,4,5240.0,1310.0,91,24
CUST00352,58,Male,330535.44,31,7,20710.0,2958.57,164,27
CUST00353,59,Male,284594.04,25,4,4950.0,1237.5,49,21
CUST00354,64,Female,417647.27,87,2,5420.0,2710.0,59,24
CUST00355,54,Female,682366.78,107,7,8020.0,1145.71,12,36
CUST00356,33,Female,483313.31,21,27,37670.0,1395.19,28,29
CUST00357,62,Female,410463.43,16,10,16450.0,1645.0,166,30
CUST00358,39,Female,581524.36,4,9,14320.0,1591.11,0,30
CUST00359,37,Male,331115.95,107,12,33270.0,2772.5,27,23
CUST00360,67,Female,287951.25,46,15,31050.0,2070.0,27,15
CUST00361,60,Male,426615.48,8,8,17890.0,2236.25,108,24
CUST00362,44,Female,341069.14,6,19,27880.0,1467.37,5,27
CUST00363,58,Female,292747.76,53,5,13770.0,2754.0,405,28
CUST00364,33,Female,750983.27,119,5,16110.0,3222.0,11,37
CUST00365,51,Other,1347438.96,64,14,24910.0,1779.29,131,21
CUST00366,49,Male,248398.06,91,7,20210.0,2887.14,11,35
CUST00367,43,Female,414658.76,51,16,40300.0,2518.75,10,24
CUST00368,42,Female,540835.8,100,6,18860.0,3143.33,117,34
CUST00369,19,Other,230519.58,100,9,18270.0,2030.0,9,20
CUST00370,29,Female,452309.36,63,4,15140.0,3785.0,75,25
CUST00371,57,Male,467341.42,88,15,19260.0,1284.0,42,25
CUST00372,26,Female,620540.27,6,4,8040.0,2010.0,20,24
CUST00373,29,Female,353145.08,62,2,5060.0,2530.0,0,23
CUST00374,43,Male,387833.33,107,15,32360.0,2157.33,1,28
CUST00375,26,Female,774153.33,33,0,0.0,0.0,9999,23
CUST00376,27,Female,603863.83,2,17,18080.0,1063.53,3,28
CUST00377,49,Female,693808.67,41,20,35260.0,1763.0,19,27
CUST00378,51,Male,227073.27,16,8,15720.0,1965.0,133,25
CUST00379,65,Female,370132.25,102,4,5270.0,1317.5,20,20
CUST00380,37,Female,989230.35,119,2,3520.0,1760.0,249,27
CUST00381,56,Female,481465.67,59,17,29620.0,1742.35,18,33
CUST00382,19,Male,472497.17,9,23,82970.0,3607.39,1,27
CUST00383,18,Male,481831.36,115,20,57880.0,2894.0,40,23
CUST00384,68,Female,1013439.79,69,8,18990.0,2373.75,122,21
CUST00385,53,Female,357384.64,117,14,25100.0,1792.86,17,24
CUST00386,41,Male,676387.55,10,4,14400.0,3600.0,45,27
CUST00387,44,Male,563056.64,94,7,14880.0,2125.71,6,20
CUST00388,19,Male,270376.08,7,4,6390.0,1597.5,116,21
CUST00389,48,Female,437130.61,93,3,3780.0,1260.0,92,19
CUST00390,31,Male,343573.86,66,21,38980.0,1856.19,44,21
CUST00391,19,Male,281926.62,20,7,16820.0,2402.86,20,29
CUST00392,46,Male,856619.67,63,16,24620.0,1538.75,2,23
CUST00393,32,Female,288769.67,4,22,49220.0,2237.27,7,26
CUST00394,29,Male,700500.44,28,16,52360.0,3272.5,42,29
CUST00395,54,Male,339298.91,72,0,0.0,0.0,9999,23
CUST00396,45,Female,920985.43,35,28,80760.0,2884.29,43,26
CUST00397,37,Male,413928.1,2,22,24540.0,1115.45,3,23
CUST00398,56,Male,581525.03,41,7,10090.0,1441.43,5,27
CUST00399,41,Female,387525.54,28,15,31420.0,2094.67,47,32
CUST00400,38,Male,188565.87,75,14,20880.0,1491.43,17,24
CUST00401,27,Female,236090.36,100,15,24750.0,1650.0,55,28
CUST00402,63,Male,212827.21,73,11,15540.0,1412.73,38,19
CUST00403,31,Female,560499.92,102,11,23160.0,2105.45,57,34
CUST00404,54,Male,493592.38,1,6,18380.0,3063.33,1,22
CUST00405,35,Female,653416.0,27,4,7330.0,1832.5,100,21
CUST00406,41,Male,368327.86,67,3,3460.0,1153.33,223,22
CUST00407,31,Male,188203.59,39,4,6600.0,1650.0,135,15
