Purchase_ID,Customer_ID,Product_ID,Purchase_Date,Quantity
PUR00059,CUST00009,P00288,2025-07-14,2
PUR00060,CUST00009,P00534,2025-01-03,1
PUR00061,CUST00009,P00740,2026-06-15,1
PUR00062,CUST00009,P00065,2025-11-04,2
PUR00063,CUST00010,P00703,2025-08-17,1
PUR00064,CUST00010,P00192,2025-03-16,1
PUR00065,CUST00010,P00549,2026-07-07,1
PUR00066,CUST00010,P00084,2025-10-14,1
PUR00067,CUST00010,P00703,2025-05-28,2
PUR00068,CUST00010,P00636,2025-12-09,1
PUR00069,CUST00010,P00703,2026-07-05,2
PUR00070,CUST00010,P00367,2025-02-25,2
PUR00071,CUST00010,P00084,2024-10-24,1
PUR00072,CUST00011,P00165,2026-05-02,1
PUR00073,CUST00011,P00545,2026-07-09,1
PUR00074,CUST00011,P00165,2025-08-16,1
PUR00075,CUST00011,P00165,2025-06-15,2
PUR00076,CUST00011,P00165,2024-09-04,1
PUR00077,CUST00011,P00165,2026-04-19,1
PUR00078,CUST00011,P00165,2025-06-18,1
PUR00079,CUST00011,P00486,2026-02-23,1
PUR00080,CUST00011,P00110,2025-01-15,2
PUR00081,CUST00011,P00159,2025-10-17,1
PUR00082,CUST00011,P00165,2026-02-20,1
PUR00083,CUST00012,P00137,2025-11-20,1
PUR00084,CUST00012,P00381,2025-02-06,1
PUR00085,CUST00012,P00623,2025-03-22,1
PUR00086,CUST00012,P00021,2026-06-06,1
PUR00087,CUST00012,P00557,2025-07-22,1
PUR00088,CUST00012,P00316,2025-08-26,1
PUR00089,CUST00012,P00316,2026-07-30,2
PUR00090,CUST00012,P00650,2026-07-28,1
PUR00091,CUST00013,P00357,2025-11-29,1
PUR00092,CUST00013,P00103,2025-11-22,1
PUR00093,CUST00013,P00454,2026-06-01,1
PUR00094,CUST00013,P00708,2026-04-16,3
PUR00095,CUST00013,P00570,2025-11-28,2
PUR00096,CUST00013,P00024,2026-01-10,1
PUR00097,CUST00013,P00103,2025-06-12,1
PUR00098,CUST00014,P00499,2025-04-20,1
PUR00099,CUST00014,P00141,2024-09-05,3
PUR00100,CUST00014,P00738,2025-12-04,1
PUR00101,CUST00014,P00251,2026-05-12,1
PUR00102,CUST00015,P00248,2025-02-09,1
PUR00103,CUST00015,P00374,2025-10-02,1
PUR00104,CUST00015,P00703,2025-10-11,1
PUR00105,CUST00015,P00117,2025-11-11,1
PUR00106,CUST00015,P00035,2024-12-31,1
PUR00107,CUST00015,P00189,2025-09-17,1
PUR00108,CUST00015,P00602,2026-08-15,1
PUR00109,CUST00015,P00351,2025-04-12,1
PUR00110,CUST00015,P00248,2026-04-27,1
PUR00111,CUST00015,P00733,2025-10-24,1
PUR00112,CUST00015,P00727,2025-02-08,1
PUR00113,CUST00016,P00516,2024-10-17,1
PUR00114,CUST00017,P00149,2024-10-09,1
PUR00115,CUST00017,P00149,2025-11-01,2
PUR00116,CUST00017,P00149,2026-01-18,1
PUR00117,CUST00017,P00651,2025-07-25,1
PUR00118,CUST00017,P00203,2026-08-25,1
PUR00119,CUST00017,P00149,2025-12-27,1
PUR00120,CUST00017,P00149,2025-06-04,1
PUR00121,CUST00017,P00382,2024-12-29,1
PUR00122,CUST00017,P00323,2025-08-09,1
PUR00123,CUST00017,P00149,2026-06-14,1
PUR00124,CUST00017,P00149,2025-12-22,1
PUR00125,CUST00018,P00539,2025-08-26,1
PUR00126,CUST00018,P00707,2025-02-11,1
PUR00127,CUST00018,P00022,2025-01-13,1
PUR00128,CUST00018,P00040,2026-04-20,1
PUR00129,CUST00018,P00022,2024-12-13,1
PUR00130,CUST00018,P00408,2024-10-29,1
PUR00131,CUST00018,P00717,2025-06-20,1
PUR00132,CUST00018,P00725,2025-07-29,1
PUR00133,CUST00018,P00040,2026-07-26,1
PUR00134,CUST00018,P00725,2026-08-16,2
PUR00135,CUST00018,P00633,2026-03-08,2
PUR00136,CUST00018,P00365,2024-10-19,1
PUR00137,CUST00018,P00725,2026-01-04,1
PUR00138,CUST00018,P00365,2024-12-06,1
PUR00139,CUST00018,P00496,2025-02-09,2
PUR00140,CUST00018,P00022,2025-12-10,2
PUR00141,CUST00018,P00115,2026-01-05,1
PUR00142,CUST00018,P00040,2025-09-05,1
PUR00143,CUST00018,P00633,2026-08-14,1
PUR00144,CUST00018,P00725,2025-10-09,1
PUR00145,CUST00019,P00454,2025-05-22,2
PUR00146,CUST00019,P00015,2025-09-01,1
PUR00147,CUST00019,P00169,2026-01-07,1
PUR00148,CUST00019,P00456,2025-04-21,1
PUR00149,CUST00019,P00018,2024-11-03,1
PUR00150,CUST00019,P00740,2025-05-07,1
PUR00151,CUST00019,P00740,2026-06-22,1
PUR00152,CUST00019,P00015,2024-09-01,1
PUR00153,CUST00019,P00168,2026-03-20,2
PUR00154,CUST00019,P00164,2026-03-04,1
PUR00155,CUST00019,P00015,2026-05-05,1
PUR00156,CUST00019,P00454,2026-07-22,1
PUR00157,CUST00019,P00740,2025-07-05,1
PUR00158,CUST00019,P00127,2024-10-22,1
PUR00159,CUST00019,P00114,2026-08-06,2
PUR00160,CUST00019,P00015,2025-06-03,1
PUR00161,CUST00019,P00168,2025-10-24,1
PUR00162,CUST00020,P00357,2025-06-29,1
PUR00163,CUST00020,P00373,2025-10-27,1
PUR00164,CUST00020,P00357,2024-12-21,2
PUR00165,CUST00020,P00249,2025-10-03,1
PUR00166,CUST00020,P00187,2025-07-20,2
PUR00167,CUST00020,P00493,2025-07-28,1
PUR00168,CUST00020,P00357,2024-11-08,1
PUR00169,CUST00020,P00357,2026-08-22,1
PUR00170,CUST00020,P00357,2025-02-10,1
PUR00171,CUST00020,P00357,2025-10-13,2
PUR00172,CUST00020,P00027,2025-11-21,1
PUR00173,CUST00020,P00357,2025-04-11,1
PUR00174,CUST00020,P00357,2026-08-06,1
PUR00175,CUST00020,P00357,2025-11-24,1
PUR00176,CUST00021,P00471,2025-07-25,1
PUR00177,CUST00021,P00471,2026-05-03,1
PUR00178,CUST00021,P00230,2025-08-04,1
PUR00179,CUST00021,P00534,2024-09-16,1
PUR00180,CUST00021,P00449,2025-02-04,1
PUR00181,CUST00021,P00471,2025-10-13,1
PUR00182,CUST00021,P00534,2026-07-21,1
PUR00183,CUST00021,P00471,2026-05-25,1
PUR00184,CUST00021,P00449,2024-10-22,1
PUR00185,CUST00022,P00013,2025-01-26,1
PUR00186,CUST00022,P00406,2026-05-01,1
PUR00187,CUST00022,P00406,2026-08-29,1
PUR00188,CUST00022,P00239,2025-11-27,1
PUR00189,CUST00022,P00209,2024-09-04,1
PUR00190,CUST00022,P00406,2025-05-14,1
PUR00191,CUST00022,P00239,2026-08-02,1
PUR00192,CUST00022,P00406,2025-05-23,1
PUR00193,CUST00022,P00013,2026-01-25,2
PUR00194,CUST00022,P00239,2026-06-08,1
PUR00195,CUST00022,P00406,2025-03-23,2
PUR00196,CUST00022,P00406,2025-11-20,3
PUR00197,CUST00022,P00197,2025-08-23,1
PUR00198,CUST00022,P00406,2025-10-10,1
PUR00199,CUST00022,P00013,2026-02-22,2
PUR00200,CUST00022,P00406,2025-12-11,1
PUR00201,CUST00022,P00406,2026-07-04,1
PUR00202,CUST00022,P00406,2026-03-27,1
PUR00203,CUST00022,P00476,2025-11-08,3
PUR00204,CUST00022,P00406,2026-06-27,1
PUR00205,CUST00022,P00342,2025-11-26,1
PUR00206,CUST00023,P00569,2025-01-14,1
PUR00207,CUST00023,P00569,2024-09-07,2
PUR00208,CUST00023,P00130,2026-03-05,2
PUR00209,CUST00023,P00277,2025-03-21,1
PUR00210,CUST00023,P00569,2025-07-28,3
PUR00211,CUST00023,P00701,2025-07-23,1
PUR00212,CUST00023,P00658,2025-01-07,1
PUR00213,CUST00023,P00277,2025-12-15,1
PUR00214,CUST00023,P00569,2025-09-23,1
PUR00215,CUST00023,P00277,2024-09-25,1
PUR00216,CUST00023,P00569,2026-02-15,1
PUR00217,CUST00023,P00277,2026-02-19,1
PUR00218,CUST00023,P00569,2025-09-29,1
PUR00219,CUST00023,P00277,2025-03-27,1
PUR00220,CUST00023,P00701,2025-09-20,1
PUR00221,CUST00024,P00708,2025-07-29,3
PUR00222,CUST00024,P00166,2025-11-14,1
PUR00223,CUST00024,P00570,2025-11-27,1
PUR00224,CUST00024,P00708,2025-06-25,1
PUR00225,CUST00024,P00135,2026-08-25,1
PUR00226,CUST00024,P00160,2025-03-25,1
PUR00227,CUST00024,P00708,2026-08-31,2
PUR00228,CUST00024,P00708,2025-02-10,1
PUR00229,CUST00025,P00255,2026-08-20,1
PUR00230,CUST00025,P00183,2026-08-07,1
PUR00231,CUST00025,P00255,2026-09-01,1
PUR00232,CUST00025,P00531,2026-08-04,2
PUR00233,CUST00025,P00673,2026-08-05,1
PUR00234,CUST00025,P00499,2026-08-24,1
PUR00235,CUST00025,P00673,2026-08-07,1
PUR00236,CUST00025,P00009,2026-08-12,1
PUR00237,CUST00025,P00121,2026-08-23,1
PUR00238,CUST00025,P00673,2026-08-03,1
PUR00239,CUST00025,P00255,2026-08-08,1
PUR00240,CUST00025,P00009,2026-08-25,1
PUR00241,CUST00025,P00121,2026-08-20,1
PUR00242,CUST00026,P00166,2025-12-25,1
PUR00243,CUST00026,P00650,2026-05-16,1
PUR00244,CUST00026,P00006,2025-08-21,1
PUR00245,CUST00026,P00075,2025-08-02,1
PUR00246,CUST00026,P00333,2026-07-20,1
PUR00247,CUST00026,P00333,2026-05-13,1
PUR00248,CUST00027,P00064,2025-12-25,2
PUR00249,CUST00027,P00065,2025-09-03,1
PUR00250,CUST00027,P00698,2026-03-10,2
PUR00251,CUST00027,P00043,2025-09-14,1
PUR00252,CUST00027,P00320,2026-02-19,1
PUR00253,CUST00027,P00320,2025-08-28,1
PUR00254,CUST00028,P00381,2025-07-07,1
PUR00255,CUST00028,P00604,2025-11-13,1
PUR00256,CUST00028,P00538,2026-02-02,1
PUR00257,CUST00028,P00381,2025-07-16,1
PUR00258,CUST00028,P00158,2026-07-23,2
PUR00259,CUST00028,P00485,2026-04-07,1
PUR00260,CUST00028,P00138,2025-08-30,1
PUR00261,CUST00028,P00215,2024-11-17,1
PUR00262,CUST00028,P00138,2025-05-27,1
PUR00263,CUST00028,P00063,2025-04-26,1
PUR00264,CUST00028,P00381,2026-05-01,1
PUR00265,CUST00028,P00138,2025-09-01,1
PUR00266,CUST00028,P00250,2026-02-25,1
PUR00267,CUST00028,P00063,2025-09-19,1
PUR00268,CUST00028,P00381,2026-08-26,2
PUR00269,CUST00028,P00381,2025-10-14,1
PUR00270,CUST00028,P00138,2025-10-30,1
PUR00271,CUST00028,P00604,2025-01-14,2
PUR00272,CUST00028,P00461,2026-03-16,2
PUR00273,CUST00028,P00694,2025-05-11,1
PUR00274,CUST00028,P00215,2025-04-28,1
PUR00275,CUST00028,P00063,2026-04-02,3
PUR00276,CUST00029,P00662,2025-09-24,1
PUR00277,CUST00029,P00547,2025-09-19,1
PUR00278,CUST00029,P00547,2026-04-18,1
PUR00279,CUST00029,P00662,2026-08-28,1
PUR00280,CUST00029,P00206,2025-08-19,1
PUR00281,CUST00029,P00540,2024-11-10,1
PUR00282,CUST00029,P00170,2026-01-23,1
PUR00283,CUST00029,P00170,2026-02-25,1
PUR00284,CUST00029,P00681,2026-03-29,2
PUR00285,CUST00029,P00490,2025-07-16,1
PUR00286,CUST00029,P00170,2024-11-28,1
PUR00287,CUST00029,P00547,2025-02-12,2
PUR00288,CUST00029,P00372,2025-10-26,3
PUR00289,CUST00029,P00206,2025-01-08,1
PUR00290,CUST00030,P00729,2026-04-15,1
PUR00291,CUST00030,P00319,2025-01-13,1
PUR00292,CUST00030,P00319,2026-05-23,1
PUR00293,CUST00030,P00729,2024-09-27,1
PUR00294,CUST00030,P00383,2025-12-12,1
PUR00295,CUST00030,P00319,2024-10-22,1
PUR00296,CUST00030,P00178,2025-12-22,1
PUR00297,CUST00030,P00319,2024-10-04,2
PUR00298,CUST00030,P00178,2024-09-10,1
PUR00299,CUST00031,P00151,2026-07-24,1
PUR00300,CUST00031,P00246,2026-07-31,1
PUR00301,CUST00031,P00127,2026-08-08,1
PUR00302,CUST00031,P00124,2026-05-05,1
PUR00303,CUST00031,P00740,2026-08-05,1
PUR00304,CUST00031,P00486,2026-07-21,1
PUR00305,CUST00032,P00192,2025-06-20,1
PUR00306,CUST00032,P00248,2026-08-05,1
PUR00307,CUST00032,P00192,2025-01-01,1
PUR00308,CUST00032,P00466,2025-02-06,1
PUR00309,CUST00032,P00224,2024-09-24,1
PUR00310,CUST00032,P00466,2026-08-03,1
PUR00311,CUST00032,P00367,2025-06-14,1
PUR00312,CUST00032,P00466,2026-05-19,1
PUR00313,CUST00032,P00248,2026-06-12,1
PUR00314,CUST00032,P00248,2025-12-13,1
PUR00315,CUST00032,P00248,2024-09-28,1
PUR00316,CUST00032,P00466,2026-02-19,1
PUR00317,CUST00032,P00336,2026-08-04,2
PUR00318,CUST00032,P00740,2026-08-15,2
PUR00319,CUST00032,P00347,2025-03-30,2
PUR00320,CUST00032,P00613,2026-05-28,1
PUR00321,CUST00032,P00466,2025-01-22,2
PUR00322,CUST00032,P00466,2025-06-14,1
PUR00323,CUST00032,P00466,2025-08-05,1
PUR00324,CUST00032,P00248,2025-10-29,1
PUR00325,CUST00032,P00248,2026-07-23,1
PUR00326,CUST00032,P00236,2025-08-17,1
PUR00327,CUST00032,P00724,2024-12-03,1
PUR00328,CUST00032,P00190,2024-12-21,1
PUR00329,CUST00032,P00347,2026-05-18,1
PUR00330,CUST00032,P00466,2024-10-30,1
PUR00331,CUST00033,P00026,2026-01-29,1
PUR00332,CUST00033,P00442,2026-02-24,2
PUR00333,CUST00033,P00026,2026-04-29,1
PUR00334,CUST00033,P00026,2026-04-28,1
PUR00335,CUST00033,P00483,2026-03-14,1
PUR00336,CUST00033,P00037,2026-08-27,1
PUR00337,CUST00033,P00483,2026-04-14,1
PUR00338,CUST00033,P00026,2026-01-19,2
PUR00339,CUST00033,P00166,2026-07-08,1
PUR00340,CUST00033,P00027,2025-10-21,1
PUR00341,CUST00033,P00524,2026-08-27,2
PUR00342,CUST00033,P00507,2025-07-15,1
PUR00343,CUST00033,P00027,2026-01-26,1
PUR00344,CUST00033,P00351,2025-08-30,2
PUR00345,CUST00033,P00380,2026-02-26,1
PUR00346,CUST00033,P00442,2025-08-18,1
PUR00347,CUST00033,P00026,2026-02-14,1
PUR00348,CUST00033,P00026,2026-02-14,1
PUR00349,CUST00033,P00026,2026-02-05,1
PUR00350,CUST00033,P00483,2026-06-28,1
PUR00351,CUST00033,P00166,2026-03-11,2
PUR00352,CUST00033,P00026,2026-07-11,1
PUR00353,CUST00033,P00377,2025-12-19,3
PUR00354,CUST00033,P00442,2025-11-05,1
PUR00355,CUST00034,P00334,2026-07-20,1
PUR00356,CUST00034,P00278,2025-11-26,1
PUR00357,CUST00034,P00299,2025-11-01,1
PUR00358,CUST00035,P00585,2024-11-24,1
PUR00359,CUST00035,P00189,2025-06-12,1
PUR00360,CUST00035,P00064,2025-09-08,1
PUR00361,CUST00035,P00189,2026-07-09,1
PUR00362,CUST00035,P00636,2025-10-21,2
PUR00363,CUST00035,P00189,2025-05-13,1
PUR00364,CUST00035,P00189,2026-05-04,3
PUR00365,CUST00036,P00545,2026-01-31,2
PUR00366,CUST00037,P00470,2024-12-03,1
PUR00367,CUST00037,P00225,2026-05-06,2
PUR00368,CUST00038,P00604,2026-03-09,1
PUR00369,CUST00038,P00020,2024-12-20,1
PUR00370,CUST00038,P00576,2026-08-06,1
PUR00371,CUST00038,P00190,2025-08-23,1
PUR00372,CUST00038,P00348,2024-11-10,1
PUR00373,CUST00038,P00687,2025-11-16,1
PUR00374,CUST00038,P00052,2026-06-02,1
PUR00375,CUST00038,P00629,2025-08-05,1
PUR00376,CUST00038,P00604,2025-05-31,2
PUR00377,CUST00038,P00604,2024-09-01,1
PUR00378,CUST00038,P00474,2026-08-18,1
PUR00379,CUST00039,P00036,2025-03-21,1
PUR00380,CUST00039,P00459,2026-02-18,1
PUR00381,CUST00039,P00042,2025-03-15,1
PUR00382,CUST00039,P00647,2024-12-06,1
PUR00383,CUST00039,P00554,2026-04-07,3
PUR00384,CUST00039,P00036,2025-06-15,1
PUR00385,CUST00039,P00554,2024-09-06,1
PUR00386,CUST00039,P00712,2026-08-21,1
PUR00387,CUST00039,P00344,2025-11-27,1
PUR00388,CUST00039,P00347,2024-10-29,1
PUR00389,CUST00039,P00558,2024-11-21,1
PUR00390,CUST00039,P00036,2024-09-27,1
PUR00391,CUST00039,P00712,2025-12-13,1
PUR00392,CUST00039,P00344,2025-12-08,1
PUR00393,CUST00040,P00647,2025-09-29,1
PUR00394,CUST00040,P00412,2024-12-30,1
PUR00395,CUST00040,P00412,2024-09-10,2
PUR00396,CUST00040,P00652,2025-04-02,2
PUR00397,CUST00040,P00647,2025-12-06,1
PUR00398,CUST00040,P00412,2025-07-06,1
PUR00399,CUST00041,P00543,2026-03-12,1
PUR00400,CUST00041,P00735,2026-03-29,1
PUR00401,CUST00041,P00735,2026-05-13,1
PUR00402,CUST00041,P00048,2025-01-21,1
PUR00403,CUST00041,P00720,2025-06-05,2
PUR00404,CUST00041,P00719,2026-04-30,1
PUR00405,CUST00041,P00229,2024-10-31,1
PUR00406,CUST00041,P00048,2025-04-29,1
PUR00407,CUST00041,P00229,2025-01-31,1
PUR00408,CUST00041,P00290,2024-11-23,1
PUR00409,CUST00041,P00735,2025-12-07,1
PUR00410,CUST00041,P00078,2025-03-11,1
PUR00411,CUST00041,P00736,2025-06-22,1
PUR00412,CUST00041,P00264,2025-12-14,1
PUR00413,CUST00042,P00588,2026-01-14,1
PUR00414,CUST00042,P00430,2026-05-31,1
PUR00415,CUST00042,P00081,2025-03-17,2
PUR00416,CUST00042,P00715,2026-02-21,1
PUR00417,CUST00043,P00186,2025-07-28,2
PUR00418,CUST00043,P00714,2026-02-09,1
PUR00419,CUST00043,P00688,2025-11-13,1
PUR00420,CUST00043,P00487,2026-07-03,1
PUR00421,CUST00043,P00186,2026-05-29,2
PUR00422,CUST00043,P00715,2025-12-15,2
PUR00423,CUST00043,P00373,2025-12-09,1
PUR00424,CUST00043,P00186,2026-02-14,1
PUR00425,CUST00043,P00162,2025-12-02,1
PUR00426,CUST00043,P00362,2026-02-14,1
PUR00427,CUST00043,P00688,2026-02-11,1
PUR00428,CUST00043,P00487,2025-11-08,1
PUR00429,CUST00043,P00199,2026-02-10,1
PUR00430,CUST00043,P00118,2025-10-11,1
PUR00431,CUST00043,P00199,2026-02-08,1
PUR00432,CUST00043,P00186,2026-06-20,1
PUR00433,CUST00043,P00150,2025-06-08,2
PUR00434,CUST00043,P00071,2026-05-08,1
PUR00435,CUST00045,P00457,2025-05-25,1
PUR00436,CUST00045,P00457,2025-11-24,3
PUR00437,CUST00045,P00457,2025-04-11,1
PUR00438,CUST00045,P00457,2025-09-10,2
PUR00439,CUST00045,P00457,2025-06-05,1
PUR00440,CUST00046,P00495,2024-09-09,1
PUR00441,CUST00046,P00035,2025-10-24,2
PUR00442,CUST00046,P00544,2025-10-08,1
PUR00443,CUST00046,P00376,2026-08-20,1
PUR00444,CUST00046,P00376,2024-12-15,1
PUR00445,CUST00046,P00376,2026-05-16,1
PUR00446,CUST00047,P00025,2024-10-03,1
PUR00447,CUST00047,P00025,2026-01-27,1
PUR00448,CUST00047,P00426,2024-09-05,1
PUR00449,CUST00047,P00323,2025-02-11,1
PUR00450,CUST00047,P00025,2026-02-18,1
PUR00451,CUST00047,P00025,2025-01-18,2
PUR00452,CUST00047,P00614,2026-04-13,1
PUR00453,CUST00047,P00025,2026-01-13,1
PUR00454,CUST00047,P00217,2026-03-13,1
PUR00455,CUST00047,P00025,2024-09-23,1
PUR00456,CUST00047,P00309,2025-01-04,1
PUR00457,CUST00048,P00577,2026-05-27,2
PUR00458,CUST00048,P00001,2025-05-28,1
PUR00459,CUST00048,P00177,2024-11-26,1
PUR00460,CUST00048,P00499,2026-05-14,1
PUR00461,CUST00049,P00384,2026-02-13,1
PUR00462,CUST00049,P00282,2025-03-01,1
PUR00463,CUST00049,P00062,2025-01-03,1
PUR00464,CUST00049,P00455,2025-01-03,1
PUR00465,CUST00049,P00512,2025-01-27,1
PUR00466,CUST00049,P00512,2026-03-11,1
PUR00467,CUST00049,P00384,2025-08-08,1
PUR00468,CUST00049,P00363,2025-04-30,1
PUR00469,CUST00049,P00252,2024-09-19,1
PUR00470,CUST00049,P00518,2026-02-13,1
PUR00471,CUST00050,P00634,2026-04-27,1
PUR00472,CUST00050,P00736,2026-04-14,1
PUR00473,CUST00050,P00303,2025-08-22,1
PUR00474,CUST00050,P00727,2026-04-19,1
PUR00475,CUST00050,P00634,2026-08-20,1
PUR00476,CUST00050,P00303,2024-10-17,1
PUR00477,CUST00051,P00360,2025-04-19,1
PUR00478,CUST00051,P00360,2024-09-29,1
PUR00479,CUST00051,P00360,2025-02-28,1
PUR00480,CUST00051,P00643,2025-08-12,1
PUR00481,CUST00051,P00360,2025-03-04,1
PUR00482,CUST00051,P00460,2026-02-06,2
PUR00483,CUST00051,P00383,2025-04-24,1
PUR00484,CUST00051,P00643,2025-10-06,1
PUR00485,CUST00051,P00360,2024-09-05,1
PUR00486,CUST00051,P00739,2026-04-21,1
PUR00487,CUST00051,P00360,2024-12-08,1
PUR00488,CUST00051,P00360,2026-07-27,2
PUR00489,CUST00051,P00460,2025-09-02,1
PUR00490,CUST00051,P00319,2024-12-21,1
PUR00491,CUST00051,P00383,2026-02-04,1
PUR00492,CUST00051,P00360,2025-08-18,1
PUR00493,CUST00051,P00406,2024-12-07,2
PUR00494,CUST00051,P00740,2026-07-04,1
PUR00495,CUST00051,P00506,2025-09-11,1
PUR00496,CUST00051,P00360,2026-02-15,2
PUR00497,CUST00051,P00601,2025-01-06,1
PUR00498,CUST00051,P00360,2025-02-28,1
PUR00499,CUST00051,P00649,2024-12-22,1
PUR00500,CUST00051,P00444,2024-09-11,1
PUR00501,CUST00051,P00360,2025-10-11,1
PUR00502,CUST00052,P00544,2024-12-16,1
PUR00503,CUST00052,P00544,2025-02-24,1
PUR00504,CUST00052,P00376,2026-03-19,1
PUR00505,CUST00052,P00372,2025-11-03,1
PUR00506,CUST00052,P00298,2024-11-19,1
PUR00507,CUST00052,P00544,2025-10-31,1
PUR00508,CUST00052,P00544,2025-05-24,1
PUR00509,CUST00052,P00669,2024-10-13,1
PUR00510,CUST00052,P00544,2025-01-29,1
PUR00511,CUST00052,P00544,2026-01-03,1
PUR00512,CUST00052,P00544,2025-06-26,1
PUR00513,CUST00052,P00544,2025-06-30,1
PUR00514,CUST00052,P00376,2025-12-30,1
PUR00515,CUST00052,P00298,2024-09-05,1
PUR00516,CUST00052,P00685,2026-02-12,1
PUR00517,CUST00052,P00034,2026-05-12,2
PUR00518,CUST00052,P00544,2025-07-23,1
PUR00519,CUST00053,P00152,2026-07-02,1
PUR00520,CUST00053,P00141,2026-07-29,1
PUR00521,CUST00053,P00215,2026-08-28,1
PUR00522,CUST00053,P00215,2026-06-15,1
PUR00523,CUST00053,P00215,2026-05-29,1
PUR00524,CUST00053,P00093,2026-05-27,2
PUR00525,CUST00053,P00576,2026-06-18,1
PUR00526,CUST00054,P00021,2025-01-29,1
PUR00527,CUST00054,P00253,2025-01-20,1
PUR00528,CUST00054,P00253,2026-08-13,1
PUR00529,CUST00054,P00253,2025-04-28,1
PUR00530,CUST00054,P00253,2026-01-27,2
PUR00531,CUST00054,P00253,2025-05-24,2
PUR00532,CUST00054,P00253,2025-08-25,2
PUR00533,CUST00054,P00140,2025-12-12,1
PUR00534,CUST00054,P00253,2026-05-16,1
PUR00535,CUST00054,P00253,2026-02-21,3
PUR00536,CUST00054,P00253,2026-01-31,1
PUR00537,CUST00054,P00253,2026-03-08,2
PUR00538,CUST00054,P00253,2026-02-07,1
PUR00539,CUST00054,P00253,2025-11-28,3
PUR00540,CUST00054,P00617,2025-05-10,1
PUR00541,CUST00054,P00430,2024-09-23,2
PUR00542,CUST00054,P00253,2026-06-20,1
PUR00543,CUST00054,P00645,2024-11-15,1
PUR00544,CUST00054,P00253,2025-05-17,2
PUR00545,CUST00054,P00253,2026-03-27,2
PUR00546,CUST00054,P00253,2025-12-06,1
PUR00547,CUST00054,P00258,2025-03-13,1
PUR00548,CUST00055,P00192,2026-04-19,1
PUR00549,CUST00055,P00636,2026-06-04,1
PUR00550,CUST00055,P00192,2025-06-04,1
PUR00551,CUST00055,P00192,2025-06-10,1
PUR00552,CUST00055,P00192,2024-09-30,1
PUR00553,CUST00055,P00192,2024-09-29,1
PUR00554,CUST00056,P00310,2025-10-20,1
PUR00555,CUST00056,P00703,2025-06-25,1
PUR00556,CUST00056,P00086,2024-11-27,1
PUR00557,CUST00056,P00310,2025-05-28,1
